V101,StateName
301334844,Colorado
301334888,West Virginia
301334907,New York
301334947,North Carolina
301334993,Maine
301335010,North Carolina
301335030,North Carolina
301337505,California
301338496,South Carolina
301338665,Alabama
301342485,South Carolina
301342561,California
301342610,Wisconsin
301342640,Florida
301342659,Pennsylvania
301342781,Oklahoma
301342828,Texas
301342872,Illinois
301345917,Missouri
301345921,California
301346902,Oregon
301346912,California
301349844,Minnesota
301350535,Illinois
301350591,Indiana
301350605,California
301357245,Minnesota
301360063,California
301362850,Michigan
301362874,Wisconsin
301362947,New York
301363343,California
301363356,West Virginia
301363366,California
301363410,Texas
301363421,Florida
301363450,Michigan
301363495,New York
301363503,Texas
301363508,California
301363521,North Carolina
301363527,Texas
301363539,Ohio
301363554,Washington
301363567,Texas
301364957,Indiana
301364962,Texas
301365071,Pennsylvania
301365091,Pennsylvania
301365306,North Carolina
301365354,Washington
301365525,Illinois
301365529,California
301365633,Illinois
301365635,North Carolina
301365704,New York
301365715,Pennsylvania
301365811,Georgia
301366181,Nebraska
301366201,Tennessee
301366204,Ohio
301366230,Massachusetts
301366233,Georgia
301366245,Illinois
301366259,Florida
301366268,Wisconsin
301366271,California
301366279,New York
301366390,Illinois
301366536,Georgia
301366598,Alaska
301366645,Washington
301366648,Arizona
301366653,California
301366658,Maryland
301366673,North Carolina
301366680,Oklahoma
301366702,Massachusetts
301366703,Texas
301366709,New York
301366714,Texas
301367701,Kentucky
301374863,Kentucky
301374868,Rhode Island
301374891,Michigan
301374892,Ohio
301376440,California
301377302,Minnesota
301377504,Texas
301380322,Pennsylvania
301383014,Indiana
301385895,Nevada
301386533,North Carolina
301386607,Minnesota
301386623,Pennsylvania
301386637,Ohio
301386647,Massachusetts
301389279,Ohio
301394968,Florida
301397487,Colorado
301397670,Minnesota
301399783,West Virginia
301399885,Massachusetts
301399901,Utah
301400021,Idaho
301400052,Ohio
301400064,California
301400066,Minnesota
301400071,Wisconsin
301400073,South Carolina
301400100,California
301400105,Minnesota
301400122,California
301400290,Ohio
301400358,California
301400362,South Carolina
301400379,Pennsylvania
301400417,Ohio
301400428,Oregon
301400430,Ohio
301400441,New Hampshire
301400447,Arizona
301400467,Virginia
301400471,California
301400473,Texas
301400492,Maine
301400497,North Carolina
301400509,Virginia
301400518,Washington
301400527,Texas
301400583,Illinois
301400590,North Carolina
301400613,Wisconsin
301400623,Michigan
301400630,Texas
301400643,North Carolina
301400668,Ohio
301400683,Illinois
301400701,Ohio
301400714,Nebraska
301400734,Iowa
301400752,South Carolina
301400766,Georgia
301400860,Pennsylvania
301400883,Connecticut
301400884,Idaho
301400898,Pennsylvania
301400905,Alabama
301400941,California
301400961,Texas
301400971,Michigan
301401012,New Jersey
301401015,Oregon
301401026,Nebraska
301401042,North Carolina
301401152,Texas
301401158,West Virginia
301401192,Kentucky
301401202,Texas
301401246,Virginia
301401298,Ohio
301401335,New York
301401339,Oregon
301401398,North Carolina
301401406,North Carolina
301401474,California
301401513,Pennsylvania
301401569,California
301401578,South Carolina
301401602,North Carolina
301401628,North Carolina
301402771,California
301402791,Arizona
301402800,Florida
301402971,Illinois
301403107,Missouri
301403117,Washington
301403139,Virginia
301403149,Rhode Island
301403172,Ohio
301403173,Oklahoma
301403230,Utah
301403256,North Carolina
301403266,Texas
301403342,Kentucky
301403412,California
301403413,South Carolina
301403433,Illinois
301403472,California
301403493,Texas
301403509,Washington
301403519,Illinois
301403532,Massachusetts
301403561,California
301403567,Texas
301403576,North Carolina
301403601,Oregon
301403628,New Mexico
301403635,Illinois
301403658,California
301404357,Kentucky
301404381,Missouri
301404388,Minnesota
301404402,New Mexico
301404537,North Carolina
301404547,Ohio
301404584,Washington
301404615,Virginia
301404627,Texas
301404637,California
301404643,Illinois
301404664,California
301404682,Illinois
301404760,California
301404777,California
301404783,North Carolina
301404785,Texas
301404802,Idaho
301404807,Florida
301404826,Maryland
301404921,New Jersey
301404974,South Dakota
301405010,California
301405016,Nevada
301405028,Texas
301405029,Washington
301405069,Massachusetts
301405078,Virginia
301405154,North Carolina
301405156,North Carolina
301405269,Arizona
301405270,Missouri
301405275,North Carolina
301405277,Connecticut
301405302,California
301405315,Florida
301405323,Michigan
301405354,New Jersey
301405376,Missouri
301405395,Colorado
301405487,Tennessee
301405492,New Jersey
301405518,North Carolina
301405534,Pennsylvania
301405568,Alabama
301405569,Pennsylvania
301405584,South Carolina
301405609,North Carolina
301405701,Ohio
301405766,Iowa
301405800,Virginia
301406957,Indiana
301407008,Idaho
301407050,Georgia
301407054,New York
301407135,South Dakota
301407146,Alabama
301407177,Michigan
301407206,Wisconsin
301407227,Missouri
301407233,Pennsylvania
301407331,North Carolina
301407409,Florida
301407433,Minnesota
301407465,Alabama
301407471,Iowa
301407490,California
301407524,Wisconsin
301407526,Arkansas
301407529,California
301407537,Colorado
301407552,California
301407566,Montana
301407572,Georgia
301407588,Texas
301407600,Ohio
301407602,Washington
301407625,California
301407699,Ohio
301408381,North Carolina
301408515,Wisconsin
301408523,Utah
301408553,Pennsylvania
301408558,Arizona
301408714,Pennsylvania
301408723,Illinois
301408732,California
301408739,Pennsylvania
301408744,Connecticut
301408750,New York
301408765,West Virginia
